ID|ESTACION|Latitud|Longitud
8001|LA CORUNA|43-22N|008-25W
8002|LA CORUNA/ALVEDRO|43-18N|008-23W
8205|LA COVATILLA, ESTACI|40-21-15N|005-41-21W
8117|LA MOLINA|42-20N|001-56E
8143|LA PINILLA, ESTACION|41-11-30N|003-28-31W
8115|LA SEO DURGELL|42-21-15N|001-27-46E
8123|LAGUNAS DE SOMOZA|42-22-37N|006-11-48W
8024|LEKEITIO,FARO|43-22-36N|002-30-37W
8055|LEON/VIRGEN DEL CAMINO|42-35N|005-39W
8016|LLANES|43-25-13N|004-44-53W
8171|LLEIDA|41-37-34N|000-35-53E
8336|LLERENA|38-13-54N|006-01-00W
8304|LLUC|39-49-23N|002-53-08E
8308|LLUCMAYOR|39-23N|002-47E
8084|LOGRONO/AGONCILLO|42-27N|002-20W
8414|LOJA|37-09-41N|004-10-09W
8426|LORCA|37-39-16N|001-41-12W
8008|LUGO/ROZAS|43-07N|007-27W
8222|MADRID, RETIRO|40-25N|003-41W
8221|MADRID/BARAJAS|40-27N|003-33W
8220|MADRID/C. UNIVERSITARIA|40-27N|003-43W
8223|MADRID/CUATRO VIENTOS|40-23N|003-47W
8224|MADRID/GETAFE|40-18N|003-43W
8227|MADRID/TORREJON|40-29N|003-27W
8273|MADRIDEJOS|39-29-29N|003-31-41W
8481|MALAGA,CMT|36-43-04N|004-28-54W
8479|MALAGA,PUERTO|36-43-00N|004-25-09W
8482|MALAGA/AEROPUERTO|36-40N|004-29W
8302|MALLORCA-SON BONET|39-36N|002-42E
8174|MANRESA|41-43-13N|001-50-21E
8944|MASELLA|42-20N|001-53E
8063|MEDINA DE POMAR|42-55-12N|003-28-54W
8314|MENORCA/AEROPUERTO|39-52N|004-14E
8331|MERIDA|38-54-55N|006-23-08W
8232|MOLINA DE ARAGON|40-51N|001-53W
8397|MORON DE LA FRONTERA|37-09N|005-37W
8485|MOTRIL,CLUB NAUTICO|36-43-27N|003-31-44W
8430|MURCIA|38-00N|001-10W
8429|MURCIA/ALCANTARILLA|37-57N|001-14W
8433|MURCIA/SAN JAVIER|37-47N|000-48W
8215|NAVACERRADA, PUERTO|40-47N|004-01W
8254|NAVALMORAL DE LA MAT|39-56-44N|005-34-54W
8206|NAVARREDONDA DE GRED|40-21-02N|005-08-35W
8032|NESTARES|42-59-29N|004-09-38W
8489|NIJAR|36-50N|002-05W
8946|NURIA|42-24N|002-09E
8047|O CARBALLINO|42-25-17N|008-05-31W
8282|OLIVA|38-55-44N|000-05-44W
8048|ORENSE|42-20N|007-52W
8015|OVIEDO|43-21N|005-52W
8039|PADRON|42-44-17N|008-37-36W
8031|PAJARES - VALGRANDE|42-58-41N|005-46-35W
8149|PALACIOS DE LA SIERR|41-57-33N|003-07-54W
8072|PALENCIA-AUTILLA PINO|42-00N|004-36W
8301|PALMA DE MALLORCA, CMT|39-33N|002-37E
8306|PALMA DE MALLORCA/SON SAN JUAN|39-33N|002-44E
8085|PAMPLONA/NOAIN|42-46N|001-38W
8924|PANTICOSA, ESQUI|42-42N|000-16W
8922|PANTICOSA, REFUGIO CASA PIEDRA|42-46N|000-14W
8162|PERDIGUERA|41-44N|000-32W
8357|PINOSO|38-23-57N|001-02-17W
8252|PLASENCIA|40-02-35N|006-05-08W
8051|POBRA DE TRIVES,SAN|42-20-21N|007-16-54W
8033|POLIENTES-CASYC|42-48-21N|003-56-02W
8287|POLINYA|39-11-03N|000-22-18W
8053|PONFERRADA|42-32N|006-35W
8044|PONTEVEDRA|42-26N|008-37W
8120|PORQUERES|42-06-15N|002-45-47E
8310|PORRERES|39-31-18N|003-01-09E
8938|PORT AINE, L'ORRI|42-25N|001-13E
8942|PORT DEL COMTE|42-10N|001-34E
8309|PORTO COLOM|39-24-51N|003-16-18E
