ID|ESTACION|Estado|Latitud|Longitud
8037|ZUMARRAGA-URZABALETA|SPAIN|43.07944444444445|-2.3177777777777777
8039|PADRON|SPAIN|42.738055555555555|-8.626666666666667
8040|FISTERRA|SPAIN|42.924166666666665|-9.29138888888889
8041|SANTIAGO DE COMPOSTE|SPAIN|42.87555555555556|-8.555555555555555
8047|O CARBALLINO|SPAIN|42.42138888888889|-8.091944444444444
8050|XINZO DE LIMIA|SPAIN|42.079166666666666|-7.733055555555556
8051|POBRA DE TRIVES,SAN|SPAIN|42.339166666666664|-7.281666666666666
8052|PUERTO DE LEITARIEGO|SPAIN|42.994166666666665|-6.414166666666667
8056|BENAVENTE|SPAIN|42.010555555555555|-5.666666666666667
8057|PUERTO DE SAN ISIDRO|SPAIN|43.06166666666667|-5.376666666666667
8058|CERVERA DE PISUERGA|SPAIN|42.870555555555555|-4.519166666666667
8059|PUNTA GALEA|SPAIN|43.37555555555556|-3.0191666666666666
8063|MEDINA DE POMAR|SPAIN|42.92|-3.4816666666666665
8068|CARRION DE LOS CONDE|SPAIN|42.35055555555556|-4.616666666666667
8072|PALENCIA-AUTILLA PINO|SPAIN|42.0|-4.6
8077|BELORADO|SPAIN|42.42055555555555|-3.1702777777777778
8087|BARDENAS REALES|SPAIN|42.2|-1.45
8089|ILUNDAIN|SPAIN|42.775555555555556|-1.5319444444444446
8090|SOS DEL REY CATOLICO|SPAIN|42.49027777777778|-1.2130555555555556
8091|JACA|SPAIN|42.57833333333333|-0.5466666666666666
8095|ARAGUES DEL PUERTO|SPAIN|42.70805555555555|-0.6730555555555555
8123|LAGUNAS DE SOMOZA|SPAIN|42.37694444444445|-6.196666666666666
8125|VILLARDECIERVOS|SPAIN|41.94138888888889|-6.279166666666667
8129|VITIGUDINO|SPAIN|41.01138888888889|-6.4375
8143|LA PINILLA, ESTACION|SPAIN|41.19166666666667|-3.475277777777778
8144|ARANDA DE DUERO|SPAIN|41.666666666666664|-3.741388888888889
8145|SOMOSIERRA|SPAIN|41.135555555555555|-3.580277777777778
8146|BUITRAGO|SPAIN|41.00666666666667|-3.6133333333333333
8149|PALACIOS DE LA SIERR|SPAIN|41.95916666666667|-3.131666666666667
8150|SIGUENZA|SPAIN|41.08638888888889|-2.6180555555555554
8156|CALATAYUD|SPAIN|41.33027777777778|-1.6452777777777778
8159|ZARAGOZA-VALDESPARTE|SPAIN|41.620555555555555|-0.935
8164|ALCANIZ|SPAIN|41.05777777777778|-0.14138888888888887
8165|CASPE|SPAIN|41.242222222222225|-0.06833333333333333
8166|CALANDA|SPAIN|40.946666666666665|-0.23777777777777778
8195|SAELICES EL CHICO|SPAIN|40.63444444444445|-6.599166666666667
8201|SALAMANCA,OBS.|SPAIN|40.9575|-5.661666666666667
8205|LA COVATILLA, ESTACI|SPAIN|40.354166666666664|-5.689166666666667
8206|NAVARREDONDA DE GRED|SPAIN|40.35055555555556|-5.143055555555556
8208|SOTILLO DE LA ADRADA|SPAIN|40.28805555555556|-4.5905555555555555
8212|ROBLEDO DE CHAVELA|SPAIN|40.42777777777778|-4.25
8217|ALTO DE LOS LEONES|SPAIN|40.70638888888889|-4.141666666666667
8220|MADRID/C. UNIVERSITARIA|SPAIN|40.45|-3.716666666666667
8229|ARANJUEZ|SPAIN|40.068888888888885|-3.5444444444444443
8230|CANIZARES|SPAIN|40.530277777777776|-2.1494444444444443
8251|CORIA|SPAIN|40.003055555555555|-6.5575
8252|PLASENCIA|SPAIN|40.043055555555554|-6.085555555555556
8254|NAVALMORAL DE LA MAT|SPAIN|39.94555555555556|-5.581666666666667
8256|SAN CLEMENTE|SPAIN|39.416666666666664|-2.4205555555555556
