ID|ESTACION|Estado|Latitud|Longitud
8037|ZUMARRAGA-URZABALETA|SPAIN|43-04-46N|002-19-04W
8039|PADRON|SPAIN|42-44-17N|008-37-36W
8040|FISTERRA|SPAIN|42-55-27N|009-17-29W
8041|SANTIAGO DE COMPOSTE|SPAIN|42-52-32N|008-33-20W
8047|O CARBALLINO|SPAIN|42-25-17N|008-05-31W
8050|XINZO DE LIMIA|SPAIN|42-04-45N|007-43-59W
8051|POBRA DE TRIVES,SAN|SPAIN|42-20-21N|007-16-54W
8052|PUERTO DE LEITARIEGO|SPAIN|42-59-39N|006-24-51W
8056|BENAVENTE|SPAIN|42-00-38N|005-40-00W
8057|PUERTO DE SAN ISIDRO|SPAIN|43-03-42N|005-22-36W
8058|CERVERA DE PISUERGA|SPAIN|42-52-14N|004-31-09W
8059|PUNTA GALEA|SPAIN|43-22-32N|003-01-09W
8063|MEDINA DE POMAR|SPAIN|42-55-12N|003-28-54W
8068|CARRION DE LOS CONDE|SPAIN|42-21-02N|004-37-00W
8072|PALENCIA-AUTILLA PINO|SPAIN|42-00N|004-36W
8077|BELORADO|SPAIN|42-25-14N|003-10-13W
8087|BARDENAS REALES|SPAIN|42-12N|001-27W
8089|ILUNDAIN|SPAIN|42-46-32N|001-31-55W
8090|SOS DEL REY CATOLICO|SPAIN|42-29-25N|001-12-47W
8091|JACA|SPAIN|42-34-42N|000-32-48W
8095|ARAGUES DEL PUERTO|SPAIN|42-42-29N|000-40-23W
8103|BIELSA|SPAIN|42-37-48N|000-13-27E
8107|ARTIES|SPAIN|42-42-01N|000-52-36E
8115|LA SEO DURGELL|SPAIN|42-21-15N|001-27-46E
8118|RIPOLL|SPAIN|42-11-29N|002-11-44E
8120|PORQUERES|SPAIN|42-06-15N|002-45-47E
8123|LAGUNAS DE SOMOZA|SPAIN|42-22-37N|006-11-48W
8125|VILLARDECIERVOS|SPAIN|41-56-29N|006-16-45W
8129|VITIGUDINO|SPAIN|41-00-41N|006-26-15W
8143|LA PINILLA, ESTACION|SPAIN|41-11-30N|003-28-31W
8144|ARANDA DE DUERO|SPAIN|41-40-00N|003-44-29W
8145|SOMOSIERRA|SPAIN|41-08-08N|003-34-49W
8146|BUITRAGO|SPAIN|41-00-24N|003-36-48W
8149|PALACIOS DE LA SIERR|SPAIN|41-57-33N|003-07-54W
8150|SIGUENZA|SPAIN|41-05-11N|002-37-05W
8156|CALATAYUD|SPAIN|41-19-49N|001-38-43W
8159|ZARAGOZA-VALDESPARTE|SPAIN|41-37-14N|000-56-06W
8164|ALCANIZ|SPAIN|41-03-28N|000-08-29W
8165|CASPE|SPAIN|41-14-32N|000-04-06W
8166|CALANDA|SPAIN|40-56-48N|000-14-16W
8169|VANDELLOS|SPAIN|40-57-29N|000-52-15E
8173|TARREGA|SPAIN|41-39-01N|001-08-57E
8174|MANRESA|SPAIN|41-43-13N|001-50-21E
8180|BARCELONA,CMT|SPAIN|41-23-26N|002-12-00E
8186|ARENYS DE MAR|SPAIN|41-35-12N|002-32-24E
8188|SANTA SUSANA|SPAIN|41-39-01N|002-41-48E
8195|SAELICES EL CHICO|SPAIN|40-38-04N|006-35-57W
8201|SALAMANCA,OBS.|SPAIN|40-57-27N|005-39-42W
8205|LA COVATILLA, ESTACI|SPAIN|40-21-15N|005-41-21W
8206|NAVARREDONDA DE GRED|SPAIN|40-21-02N|005-08-35W
8208|SOTILLO DE LA ADRADA|SPAIN|40-17-17N|004-35-26W
8212|ROBLEDO DE CHAVELA|SPAIN|40-25-40N|004-15-00W
8217|ALTO DE LOS LEONES|SPAIN|40-42-23N|004-08-30W
8220|MADRID/C. UNIVERSITARIA|SPAIN|40-27N|003-43W
8229|ARANJUEZ|SPAIN|40-04-08N|003-32-40W
8230|CANIZARES|SPAIN|40-31-49N|002-08-58W
8239|VINAROZ|SPAIN|40-33-33N|000-25-50E
8240|SANT JAUME|SPAIN|40-41-57N|000-48-33E
8241|VILLAFRANCA|SPAIN|40-25-59N|000-15-20E
8251|CORIA|SPAIN|40-00-11N|006-33-27W
8252|PLASENCIA|SPAIN|40-02-35N|006-05-08W
8254|NAVALMORAL DE LA MAT|SPAIN|39-56-44N|005-34-54W
8256|SAN CLEMENTE|SPAIN|39-25-00N|002-25-14W
8260|VALENCIA DE ALCANTAR|SPAIN|39-24-55N|007-14-52W
8263|TRUJILLO|SPAIN|39-28-57N|005-51-15W
8264|HERRERA DEL DUQUE|SPAIN|39-10-09N|005-03-42W
8270|SAN PABLO DE LOS MON|SPAIN|39-32-48N|004-21-02W
8271|PUEBLA DE DON RODRIG|SPAIN|39-05-18N|004-36-59W
8273|MADRIDEJOS|SPAIN|39-29-29N|003-31-41W
8274|TALAVERA DE LA REINA|SPAIN|39-57-29N|004-51-47W
8275|QUINTANAR DE LA ORDE|SPAIN|39-35-49N|003-02-48W
8276|TOMELLOSO|SPAIN|39-10-09N|003-00-24W
8277|TARANCON|SPAIN|40-00-41N|003-01-17W
8278|CHINCHILLA/CENAD|SPAIN|38-56-15N|001-39-29W
8279|ALBACETE,OBS.|SPAIN|39-00-19N|001-51-42W
8281|UTIEL, LA CUBERA|SPAIN|39-34-31N|001-14-39W
8282|OLIVA|SPAIN|38-55-44N|000-05-44W
8287|POLINYA|SPAIN|39-11-03N|000-22-18W
8290|XATIVA|SPAIN|39-00-06N|000-31-23W
8303|SIERRA DE ALFABIA|SPAIN|39-44-04N|002-42-47E
8304|LLUC|SPAIN|39-49-23N|002-53-08E
8309|PORTO COLOM|SPAIN|39-24-51N|003-16-18E
8310|PORRERES|SPAIN|39-31-18N|003-01-09E
8311|CAPDEPERA-FAR0|SPAIN|39-42-56N|003-28-39E
8312|SA POBLA-SA CANOVA|SPAIN|39-44-57N|003-01-00E
8331|MERIDA|SPAIN|38-54-55N|006-23-08W
8333|DON BENITO|SPAIN|38-57-19N|005-52-49W
8336|LLERENA|SPAIN|38-13-54N|006-01-00W
8337|JEREZ DE LOS CABALLE|SPAIN|38-17-52N|006-45-51W
8345|VISO DEL MARQUES|SPAIN|38-31-04N|003-34-00W
8346|VILLANUEVA DE CORDOB|SPAIN|38-19-59N|004-36-32W
8347|ANDUJAR|SPAIN|38-01-23N|004-03-50W
8350|SANTA ELENA|SPAIN|38-20-39N|003-32-07W
8351|VALDEPENAS|SPAIN|38-45-02N|003-23-29W
8352|ARROYO DEL OJANCO|SPAIN|38-18-52N|002-53-21W
8353|CAZORLA|SPAIN|37-54-56N|003-00-11W
8354|VILLARRODRIGO|SPAIN|38-29-21N|002-38-17W
8355|HELLIN|SPAIN|38-32-30N|001-42-11W
8356|YECLA|SPAIN|38-36-06N|001-09-33W
8357|PINOSO|SPAIN|38-23-57N|001-02-17W
8363|CIEZA, PARQUE DE BOM|SPAIN|38-13-58N|001-22-50W
8365|CARAVACA,FUENTES DEL|SPAIN|38-06-06N|001-52-36W
8370|JAVEA, AYUNTAMIENTO|SPAIN|38-47-03N|000-10-00E
8380|ALAJAR, CABEZO MOLIN|SPAIN|37-52-05N|006-40-27W
8381|AYAMONTE, ISLA CANEL|SPAIN|37-11-39N|007-23-40W
8384|EL ARENOSILLO|SPAIN|37-06-05N|006-44-13W
8392|CAZALLA DE LA SIERRA|SPAIN|37-55-35N|005-46-09W
8395|ECIJA|SPAIN|37-30-56N|005-05-07W
8399|RODA DE ANDALUCIA|SPAIN|37-11-39N|004-46-09W
8412|DOA MENCIA|SPAIN|37-33-20N|004-21-14W
8413|ANTEQUERA-BOBADILLA|SPAIN|37-01-45N|004-44-53W
8414|LOJA|SPAIN|37-09-41N|004-10-09W
8424|BAZA, CRUZ ROJA|SPAIN|37-30-19N|002-44-03W
8426|LORCA|SPAIN|37-39-16N|001-41-12W
8427|ABLA|SPAIN|37-08-29N|002-46-46W
8428|HUERCAL OVERA|SPAIN|37-23-26N|001-56-35W
8432|AGUILAS|SPAIN|37-25-00N|001-35-12W
8434|CARTAGENA|SPAIN|37-36-06N|000-59-12W
8453|SAN FERNANDO|SPAIN|36-27-56N|006-12-20W
8455|GRAZALEMA|SPAIN|36-45-38N|005-22-27W
8457|VEJER DE LA FRONTERA|SPAIN|36-14-44N|005-57-52W
8463|ESTEPONA|SPAIN|36-25-00N|005-09-15W
8479|MALAGA,PUERTO|SPAIN|36-43-00N|004-25-09W
8480|FUENGIROLA|SPAIN|36-32-17N|004-37-04W
8481|MALAGA,CMT|SPAIN|36-43-04N|004-28-54W
8485|MOTRIL,CLUB NAUTICO|SPAIN|36-43-27N|003-31-44W
8486|ADRA,CLUB NAUTICO|SPAIN|36-44-48N|003-01-14W
8492|ROQUETAS DE MAR-FARO|SPAIN|36-41-12N|002-42-06W
8911|ARAGUES DEL PUERTO, LIZARRA|SPAIN|42-46N|000-38W
8913|ANSO, REFUGIO DE LINZA|SPAIN|42-54N|000-48W
8914|CANDANCHU, ETUKSA|SPAIN|42-47N|000-32W
8917|SALLENT DE GALLEGO,  FURCO|SPAIN|42-46N|000-23W
8918|SALLENT DE GALLEGO,  FORMIGAL|SPAIN|42-47N|000-22W
8924|PANTICOSA, ESQUI|SPAIN|42-42N|000-16W
8925|ERISTE, REFUGIO ANGEL ORUS|SPAIN|42-38N|000-27E
8926|FANLO, REFUGIO DE GORIZ|SPAIN|42-40N|000-01E
8928|BENASQUE, REFUGIO DE ESTOS|SPAIN|42-41N|000-29E
8930|CERLER, ESQU COTA 2000|SPAIN|42-35N|000-32E
8958|CAMARENA DE LA SIERRA|SPAIN|40-07N|001-02W
8960|VALDELINARES, ESQUI|SPAIN|40-23N|000-38W
8927|BIELSA, REFUGIO DE PINETA|SPAIN|42-40N|000-06E
