IIiii|OACI|Nombre|Estado|Latitud|Longitud|Altitud|Notas
|GECE|CEUTA HELIPUERTO|SPAIN|35-53-34N|005-18-23W|2|
8278||CHINCHILLA/CENAD|SPAIN|38-56-15N|001-39-29W|880|
8363||CIEZA - PARQUE DE BOMBEROS|SPAIN|38-13-58N|001-22-50W|265|
8348||CIUDAD REAL|SPAIN|38-59N|003-55W|628|
|LERL|CIUDAD REAL / AEROPUERTO|SPAIN|38-51-23N|03-58-12W|650|
8219|LECV|COLMENAR VIEJO/FAMET|SPAIN|40-41-46N|003-45-54W|998|
8179||CORBERA|SPAIN|41-25N|001-53E|654|
8410|LEBA|CORDOBA / AEROPUERTO|SPAIN|37-51N|004-51W|90|
8251||CORIA|SPAIN|40-00-11N|006-33-27W|313|
8231||CUENCA|SPAIN|40-04N|002-08W|955|
8289||CULLERA|SPAIN|39-11N|000-15W|224|
8157||DAROCA|SPAIN|41-07N|001-25W|779|
8333||DON BENITO|SPAIN|38-57-19N|005-52-49W|273|
8412||DOÑA MENCIA|SPAIN|37-33-20N|004-21-14W|650|
8395||ECIJA|SPAIN|37-30-56N|005-05-07W|130|
8384||EL ARENOSILLO|SPAIN|37-06-05N|006-44-13W|41|
|LEEC|EL COPERO, BASE AEREA|SPAIN|37-16-47N|005-59-57W|5|
8005||EL FERROL|SPAIN|43-29N|008-14W|6|
8036||ELGOIBAR - IBERDROLA|SPAIN|43-12-33N|002-24-47W|120|
8925||ERISTE, REFUGIO ANGEL ORUS|SPAIN|42-38N|000-27E|2150|
8004||ESTACA DE BARES|SPAIN|43-47-08N|007-41-03W|100|
8463||ESTEPONA|SPAIN|36-25-00N|005-09-15W|15|
8926||FANLO,' REFUGIO DE GORIZ|SPAIN|42-40N|000-01E|2215|
8040||FISTERRA|SPAIN|42-55-27N|009-17-29W|230|
8364||FORTUNA|SPAIN|38-16N|001-11W|1264|
8480||FUENGIROLA|SPAIN|36-32-17N|004-37-04W|9|
60035|GCFV|FUERTEVENTURA / AEROPUERTO|SPAIN|28-27N|013-52W|22|
8184|LEGE|GERONA / COSTA BRAVA|SPAIN|41-54N|002-46E|143|
8014||GIJON-MUSEL|SPAIN|43-33-36N|005-42-03W|6|
8419|LEGR|GRANADA / AEROPUERTO|SPAIN|37-11N|003-47W|567|
|LEGA|GRANADA / ARMILLA|SPAIN|37-08N|003-38-08W|700|
8420||GRANADA/BASE AEREA|SPAIN|37-08N|003-38W|687|
8455||GRAZALEMA|SPAIN|36-45-38N|005-22-27W|913|
8226||GUADALAJARA|SPAIN|40-37-49N|003-09-00W|724|
8035||GÜEÑES|SPAIN|43-12-11N|003-06-15W|208|
8355||HELLIN|SPAIN|38-32-30N|001-42-11W|605|
8264||HERRERA DEL DUQUE|SPAIN|39-10-09N|005-03-42W|447|
60001|GCHI|HIERRO / AEROPUERTO|SPAIN|27-49N|017-53W|32|
8335|LEHI|HINOJOSA DEL DUQUE|SPAIN|38-31N|005-07W|540|
8383||HUELVA|SPAIN|37-17N|006-55W|20|
8428||HUERCAL OVERA|SPAIN|37-23-26N|001-56-35W|300|
8094||HUESCA / MONFLORITE|SPAIN|42-05N|000-20W|542|
|LEHC|HUESCA-PIRINEOS AEROPUERTO|SPAIN|42-04-52N|000-19-24W|539|
8373|LEIB|IBIZA / ES CODOLA|SPAIN|38-52N|001-23E|7|
8089||ILUNDAIN|SPAIN|42-46-32N|001-31-55W|572|
8030||IRURITA|SPAIN|43-08-08N|001-32-34W|183|
8912||ISABA,'REFUGIO BELAGUA|SPAIN|42-57N|000-50W|1434|Hasta 20151201
