ID|ESTACION
8023|SANTANDER
8021|SANTANDER/PARAYAS
8041|SANTIAGO DE COMPOSTE
8042|SANTIAGO DE COMPOSTELA/LABACOLLA
8213|SEGOVIA
8391|SEVILLA/SAN PABLO
8303|SIERRA DE ALFABIA
8262|SIERRA DE FUENTES
8150|SIGUENZA
8145|SOMOSIERRA
8148|SORIA
8090|SOS DEL REY CATOLICO
8208|SOTILLO DE LA ADRADA
8112|TALARN
8274|TALAVERA DE LA REINA
8277|TARANCON
8458|TARIFA
8173|TARREGA
8235|TERUEL
8272|TOLEDO
8276|TOMELLOSO
8228|TORREJON DE VELASCO
8238|TORTOSA
8263|TRUJILLO
8281|UTIEL, LA CUBERA
8960|VALDELINARES, ESQUI
8351|VALDEPENAS
8260|VALENCIA DE ALCANTAR
8285|VALENCIA VIVEROS
8284|VALENCIA/AEROPUERTO
8141|VALLADOLID
8140|VALLADOLID/VILLANUBLA
8948|VALLTER 2000
8169|VANDELLOS
8457|VEJER DE LA FRONTERA
8045|VIGO/PEINADOR
8241|VILLAFRANCA
8346|VILLANUEVA DE CORDOB
8125|VILLARDECIERVOS
8354|VILLARRODRIGO
8239|VINAROZ
8345|VISO DEL MARQUES
8129|VITIGUDINO
8080|VITORIA/FORONDA
8290|XATIVA
8050|XINZO DE LIMIA
8356|YECLA
8130|ZAMORA
8159|ZARAGOZA-VALDESPARTE
8160|ZARAGOZA/AEROPUERTO
8037|ZUMARRAGA-URZABALETA
8026|ZUMAYA,FARO
