ID|ESTACION|IIiii|OACI|Nombre|Estado|Latitud|Longitud|Altitud|Notas
8936|CAP DE VAQUEIRA|8936.0||SORT|SPAIN|42-25N|001-08E|680|Hasta 20141101
8311|CAPDEPERA-FAR0|8311.0||CAPDEPERA - FARO|SPAIN|39-42-56N|003-28-39E|57|
8365|CARAVACA,FUENTES DEL|8365.0||CARAVACA - FUENTES DEL|SPAIN|38-06-06N|001-52-36W|643|
8068|CARRION DE LOS CONDE|8068.0||CARRION DE LOS CONDE|SPAIN|42-21-02N|004-37-00W|830|
8434|CARTAGENA|8434.0||CARTAGENA|SPAIN|37-36-06N|000-59-12W|17|
8165|CASPE|8165.0||BUJARALOZ|SPAIN|41-31-18N|000-10-27W|357|Hasta 20180611
8165|CASPE|8165.0||CASPER|SPAIN|41-14-32N|000-04-06W|203|Desde 20180612
8286|CASTELLON-ALMAZORA|8286.0||CASTELLON|SPAIN|39-57N|000-04W|36|
8386|CASTILLO LAS GUARDAS|8386.0||CASTILLO LAS GUARDAS|SPAIN|37-41N|006-20W|520|
8020|CASTRO URDIALES|8020.0||CASTRO URDIALES|SPAIN|43-23-40N|003-14-02W|45|
8009|CASTROPOL|8009.0||CASTROPOL|SPAIN|43-32-05N|007-01-06W|40|
8392|CAZALLA DE LA SIERRA|8392.0||CAZALLA DE LA SIERRA|SPAIN|37-55-35N|005-46-09W|550|
8353|CAZORLA|8353.0||CAZORLA|SPAIN|37-54-56N|003-00-11W|813|
8007|CERCEDA|8007.0||CERCEDA|SPAIN|43-10N|008-31W|608|
8930|CERLER, ESQU COTA 2000|8930.0||CERLER,' ESQUI|SPAIN|42-35N|000-32E|1540|
8058|CERVERA DE PISUERGA|8058.0||CERVERA DE PISUERGA|SPAIN|42-52-14N|004-31-09W|1140|
8278|CHINCHILLA/CENAD|8278.0||CHINCHILLA/CENAD|SPAIN|38-56-15N|001-39-29W|880|
8363|CIEZA, PARQUE DE BOM|8363.0||CIEZA - PARQUE DE BOMBEROS|SPAIN|38-13-58N|001-22-50W|265|
8348|CIUDAD REAL|8348.0||CIUDAD REAL|SPAIN|38-59N|003-55W|628|
8219|COLMENAR VIEJO/FAMET|8219.0|LECV|COLMENAR VIEJO/FAMET|SPAIN|40-41-46N|003-45-54W|998|
8179|CORBERA, PIC D'AGULLES|8179.0||CORBERA|SPAIN|41-25N|001-53E|654|
8410|CORDOBA/AEROPUERTO|8410.0|LEBA|CORDOBA / AEROPUERTO|SPAIN|37-51N|004-51W|90|
8251|CORIA|8251.0||CORIA|SPAIN|40-00-11N|006-33-27W|313|
8231|CUENCA|8231.0||CUENCA|SPAIN|40-04N|002-08W|955|
8289|CULLERA|8289.0||CULLERA|SPAIN|39-11N|000-15W|224|
8157|DAROCA I|8157.0||DAROCA|SPAIN|41-07N|001-25W|779|
